0,7154
1,1198
2,6505
3,6269
4,6026
5,6747
6,1946
7,1562
8,2912
9,1691
10,5694
11,5430
12,3576
13,2388
14,3043
15,1356
16,1453
17,3524
18,699
19,4194
20,3517
21,160
22,849
23,1517
24,1531
25,3222
26,6803
27,6394
28,5761
29,6195
30,2549
31,537
32,7122
33,2844
34,2050
35,6148
36,2603
37,5994
38,6435
39,7160
40,2278
41,5474
42,5412
43,529
44,2883
45,3916
46,1584
47,5776
48,5501
49,421
50,4111
51,269
52,6963
53,6370
54,299
55,2286
56,5612
57,3395
58,121
59,4103
60,6733
61,3287
62,2746
63,6376
64,1555
65,1197
66,1104
67,2189
68,2477
69,291
70,8227
71,3428
72,2233
73,662
74,1804
75,1856
76,6384
77,738
78,7116
79,2322
80,1486
81,5928
82,1425
83,2513
84,3326
85,3713
86,202
87,2582
88,4101
89,6119
90,5967
91,5431
92,3224
93,3604
94,6880
95,2469
96,3321
97,3653
98,2708
99,2298
100,3413
101,6184
102,249
103,4024
104,3886
105,6398
106,3730
107,1633
108,6289
109,5585
110,894
111,2508
112,3941
113,1524
114,5775
115,4201
116,2577
117,8225
118,3251
119,4358
120,1479
121,6385
122,4203
123,1706
124,6381
125,1005
126,2207
127,7532
128,1793
129,4374
130,6187
131,3807
132,4218
133,1745
134,3460
135,8239
136,3570
137,3177
138,986
139,3345
140,6396
141,4345
142,3018
143,3796
144,4059
145,2958
146,2645
147,1853
148,1610
149,8259
150,800
151,8428
152,3641
153,840
154,5960
155,6758
156,3533
157,4320
158,1273
159,4130
160,169
161,1817
162,5893
163,275
164,729
165,56
166,1808
167,3461
168,109
169,680
170,3155
171,515
172,4117
173,714
174,268
175,688
176,3237
177,3734
178,4197
179,2179
180,5524
181,2966
182,7199
183,3130
184,3085
185,1475
186,1526
187,2524
188,3012
189,5422
190,3073
191,599
192,1132
193,7051
194,340
195,4250
196,6794
197,6258
198,2658
199,3988
200,3859
201,5932
202,3691
203,5692
204,2059
205,5725
206,251
207,2076
208,2251
209,2734
210,6256
211,2195
212,6492
213,6793
214,9229
215,3920
216,2017
217,7056
218,3830
219,6143
220,499
221,10941
222,9045
223,3650
224,2860
225,2884
226,2255
227,3627
228,3626
229,2541
230,718
231,4009
232,1515
233,3420
234,188
235,3995
236,1111
237,2890
238,5930
239,7505
240,1772
241,2673
242,1818
243,5538
244,481
245,1145
246,3030
247,2718
248,1952
249,1960
250,6188
251,3903
252,7098
253,2327
254,1253
255,3630
256,743
257,350
258,3793
259,6140
260,2671
261,5842
262,4087
263,6373
264,4291
265,1553
266,951
267,1983
268,127
269,5844
270,3024
271,4309
272,3473
273,266
274,1792
275,6088
276,5469
277,4371
278,8774
279,2781
280,2490
281,4022
282,3184
283,460
284,448
285,1520
286,2311
287,2492
288,3240
289,6760
290,4349
291,30
292,3696
293,877
294,4357
295,5966
296,3528
297,2547
298,5892
299,1465
300,3068
301,2028
302,1647
303,6740
